bike_name	price	monthly_payment	engine_size	riding_style
2023 Honda CRF450R	9599	$160/MO	449	dirt
2023 Husqvarna 701 Supermoto	12499	$208/MO	692	supermoto
2023 Yamaha YZF-R1	17599	$293/MO	998	supersport
2023 Triumph Street Triple RS	12995	$217/MO	765	naked
2023 Husqvarna 701 Supermoto	12499	$208/MO	692	supermoto
2023 Yamaha YZF-R1	17599	$293/MO	998	supersport
2023 Ducati Hypermotard 950 SP	17995	$300/MO	937	supermoto
2023 Ducati Monster SP	15495	$258/MO	937	naked
2023 Ducati Monster SP	15495	$258/MO	937	naked
2023 Suzuki GSX-R1000R	18499	$308/MO	999	supersport
2023 Honda CBR1000RR-R Fireblade SP	28999	$483/MO	999	supersport
2023 Suzuki GSX-R1000R	18499	$308/MO	999	supersport
2023 SWM SM 500R	8999	$150/MO	501	supermoto
2023 Yamaha MT-10	13999	$233/MO	998	naked
2023 KTM 1290 Super Adventure R	20999	$350/MO	1301	adventure
2023 Husqvarna 701 Supermoto	12499	$208/MO	692	supermoto
2023 Husqvarna 701 Supermoto	12499	$208/MO	692	supermoto
2023 Honda Africa Twin CRF1100L	14999	$250/MO	1084	adventure
2023 KTM 1290 Super Duke R	19999	$333/MO	1301	naked
2023 Husqvarna 701 Supermoto	12499	$208/MO	692	supermoto
2023 KTM 690 SMC R	12399	$207/MO	690	supermoto
2023 Kawasaki Ninja ZX-10R	17399	$290/MO	998	supersport
2023 KTM 1290 Super Duke R	19999	$333/MO	1301	naked
2023 Honda CBR1000RR-R Fireblade SP	28999	$483/MO	999	supersport
2023 Yamaha MT-10	13999	$233/MO	998	naked
2023 Honda CRF450R	9599	$160/MO	449	dirt
2023 Yamaha MT-10	13999	$233/MO	998	naked
2023 Kawasaki Ninja ZX-10R	17399	$290/MO	998	supersport
2023 KTM 1290 Super Duke R	19999	$333/MO	1301	naked
2023 Husqvarna 701 Supermoto	12499	$208/MO	692	supermoto
2023 Yamaha MT-10	13999	$233/MO	998	naked
2023 KTM 690 SMC R	12399	$207/MO	690	supermoto
2023 Ducati Hypermotard 950 SP	17995	$300/MO	937	supermoto
2023 Honda Africa Twin CRF1100L	14999	$250/MO	1084	adventure
2023 Kawasaki Ninja ZX-10R	17399	$290/MO	998	supersport
2023 BMW R 1250 GS Adventure	20995	$350/MO	1254	adventure
2023 KTM 1290 Super Duke R	19999	$333/MO	1301	naked
2023 Yamaha YZ450F	9799	$163/MO	450	dirt
2023 KTM 1290 Super Duke R	19999	$333/MO	1301	naked
2023 Suzuki GSX-R1000R	18499	$308/MO	999	supersport
2023 Yamaha MT-10	13999	$233/MO	998	naked
2023 KTM 1290 Super Adventure R	20999	$350/MO	1301	adventure
2023 Ducati Monster SP	15495	$258/MO	937	naked
2023 Kawasaki KX450	9699	$162/MO	449	dirt
2023 KTM 1290 Super Adventure R	20999	$350/MO	1301	adventure
2023 Honda CRF450R	9599	$160/MO	449	dirt
2023 Yamaha YZF-R1	17599	$293/MO	998	supersport
2023 Triumph Street Triple RS	12995	$217/MO	765	naked
2023 Kawasaki KX450	9699	$162/MO	449	dirt
2023 Suzuki GSX-R1000R	18499	$308/MO	999	supersport
2023 Ducati Multistrada V4 S	25995	$433/MO	1158	adventure
